date,year,month,quarter,city,province,region,latitude,longitude,category,channel,payment_method,sales_amount,order_count,customer_count,avg_order_value,avg_price
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,电子产品,线上,支付宝,523822.22,69,56,7591.63,2500
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,服装鞋帽,线上,银行卡,57286.73,63,40,909.31,300
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,食品饮料,线下,银行卡,15436.29,64,38,241.19,80
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,家居用品,线上,支付宝,97851.36,65,43,1505.41,500
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,美妆护肤,线上,微信支付,88914.05,74,53,1201.54,400
2023-01-01,2023,1,1,北京,北京,华北,39.9042,116.4074,图书文具,线上,支付宝,5839.54,32,20,182.49,60
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,电子产品,线上,微信支付,713610.68,95,62,7511.69,2500
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,服装鞋帽,线下,支付宝,67822.58,75,46,904.3,300
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,食品饮料,线上,支付宝,13626.73,56,45,243.33,80
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,家居用品,线上,银行卡,100692.7,67,50,1502.88,500
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,美妆护肤,线上,微信支付,115663.38,96,66,1204.83,400
2023-01-01,2023,1,1,上海,上海,华东,31.2304,121.4737,图书文具,线下,银行卡,8028.23,44,28,182.46,60
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,电子产品,线上,支付宝,505400.34,67,41,7543.29,2500
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,服装鞋帽,线上,支付宝,56003.51,62,43,903.28,300
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,食品饮料,线上,支付宝,10843.17,45,30,240.96,80
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,家居用品,线上,现金,94886.75,63,52,1506.14,500
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,美妆护肤,线下,微信支付,71948.81,59,35,1219.47,400
2023-01-01,2023,1,1,广州,广东,华南,23.1291,113.2644,图书文具,线下,支付宝,8345.35,46,37,181.42,60
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,电子产品,线下,支付宝,454541.03,60,51,7575.68,2500
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,服装鞋帽,线上,支付宝,59505.77,66,40,901.6,300
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,食品饮料,线上,支付宝,14934.45,62,53,240.88,80
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,家居用品,线下,微信支付,112641.61,75,61,1501.89,500
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,美妆护肤,线上,支付宝,91028.18,75,56,1213.71,400
2023-01-01,2023,1,1,深圳,广东,华南,22.5431,114.0579,图书文具,线上,微信支付,10786.31,59,37,182.82,60
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,电子产品,线上,微信支付,362420.67,48,41,7550.43,2500
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,服装鞋帽,线上,支付宝,30109.99,33,27,912.42,300
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,食品饮料,线下,微信支付,8042.1,33,29,243.7,80
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,家居用品,线下,支付宝,59506.79,39,33,1525.82,500
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,美妆护肤,线下,支付宝,63836.22,53,44,1204.46,400
2023-01-01,2023,1,1,成都,四川,西南,30.5728,104.0668,图书文具,线上,微信支付,6878.65,38,24,181.02,60
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,电子产品,线上,微信支付,441266.62,58,34,7608.05,2500
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,服装鞋帽,线上,支付宝,52685.33,58,38,908.37,300
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,食品饮料,线下,支付宝,10554.33,43,32,245.45,80
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,家居用品,线下,支付宝,80659.21,53,47,1521.87,500
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,美妆护肤,线上,微信支付,52958.03,44,30,1203.59,400
2023-01-01,2023,1,1,杭州,浙江,华东,30.2741,120.1551,图书文具,线上,支付宝,7069.77,39,29,181.28,60
2023-01-01,2023,1,1,武汉,湖北,华中,30.5928,114.3055,电子产品,线上,现金,315622.4,42,27,7514.82,2500
2023-01-01,2023,1,1,武汉,湖北,华中,30.5928,114.3055,服装鞋帽,线下,银行卡,40764.05,45,30,905.87,300
2023-01-01,2023,1,1,武汉,湖北,华中,30.5928,114.3055,食品饮料,线下,微信支付,9307.21,38,26,244.93,80
2023-01-01,2023,1,1,武汉,湖北,华中,30.5928,114.3055,家居用品,线上,银行卡,50520.13,33,25,1530.91,500
2023-01-01,2023,1,1,武汉,湖北,华中,30.5928,114.3055,美妆护肤,线上,微信支付,48701.2,40,24,1217.53,400
